Post code,ID Type,Email,Location,Number of Devices,Age,Crypto Use,ATM use,Declared Use,Declared Turnover,Actual Use,Actual Turnover,Months Active,Fraud Confirmed,AgeRange,TurnoverDiffStatus,TurnoverDiff,AccUseDiff,EmailDomain
W1,Passport ,jbrekke@gmail.com,UK ,3,18,YES,NO,Day to date,20,Day to date,20,12,NO,<30,Same,0,No,gmail.com
W2,Passport ,sid23@verizon.net,Europe ,3,19,YES,NO,Day to date,20,Day to date,30,3,NO,<30,High,10,No,verizon.net
W3,Passport ,wstark@mac.com,Other,3,20,YES,NO,Day to date,20,Day to date,40,3,NO,<30,High,20,No,mac.com
W4,Passport ,haven.gottlieb@comcast.net,High Risk Coutry,1,18,YES,NO,Day to date,20,ATM,20,3,YES,<30,Same,0,Yes,comcast.net
W5,ID Card,qheidenreich@msn.com,High Risk Coutry,1,18,NO,NO,Day to date,30,ATM,70,2,YES,<30,High,40,Yes,msn.com
W6,ID Card,nconn@yahoo.ca,High Risk Coutry,3,18,NO,YES,Day to date,40,ATM,100,2,YES,<30,High,60,Yes,yahoo.ca
W7,ID Card,amos07@me.com,High Risk Coutry,2,31,NO,YES,ATM,20,ATM,20,2,NO,30-40,Same,0,No,me.com
W8,Residence permit ,osinski.jeffery@icloud.com,High Risk Coutry,3,32,NO,YES,ATM,70,Friends and Family,20,2,NO,30-40,Low,50,Yes,icloud.com
W9,Residence permit ,nitzsche.emerson@mac.com,Europe ,2,31,NO,YES,ATM,100,Receiving and Withdrawing,20,6,NO,30-40,Low,80,Yes,mac.com
W10,Driving licence Full,bbahringer@live.com,Other,1,25,NO,YES,ATM,20,ATM,20,10,NO,<30,Same,0,No,live.com
W11,Driving licence Full,dquigley@gmail.it,UK ,3,31,NO,YES,Friends and Family,20,ATM,30,6,NO,30-40,High,10,Yes,gmail.it
W12,Driving licence Full,olen.boyle@sbcglobal.net,Europe ,1,60,YES,YES,Receiving and Withdrawing,20,ATM,40,6,NO,50-60,High,20,Yes,sbcglobal.net
W13,Driving licence Provisional,simonis.darius@yahoo.com,Other,2,75,YES,YES,Receiving and Withdrawing,20,Friends and Family,20,7,NO,70+,Same,0,Yes,yahoo.com
W14,Driving licence Provisional,kterry@icloud.com,High Risk Coutry,5,18,YES,YES,Receiving and Withdrawing,30,Receiving and Withdrawing,70,6,YES,<30,High,40,No,icloud.com
W15,Driving licence Provisional,stokes.gene@comcast.net,High Risk Coutry,5,18,YES,YES,Receiving and Withdrawing,40,ATM,100,6,YES,<30,High,60,Yes,comcast.net
W16,Driving licence Provisional,torphy.florencio@hotmail.com,UK ,6,31,YES,YES,Receiving and Withdrawing,20,ATM,60,12,YES,30-40,High,40,Yes,hotmail.com
W17,Driving licence Provisional,schamberger.brionna@live.com,Europe ,2,32,YES,YES,Day to date,70,ATM,60,6,NO,30-40,Low,10,Yes,live.com
W18,Passport ,lynn55@verizon.net,Other,3,31,YES,NO,Day to date,100,Day to date,50,7,NO,30-40,Low,50,No,verizon.net
W19,Passport ,august85@live.com,High Risk Coutry,6,25,YES,NO,Day to date,20,Day to date,40,4,NO,<30,High,20,No,live.com
W20,Passport ,wemmerich@verizon.net,High Risk Coutry,6,31,YES,NO,Day to date,20,Day to date,50,5,YES,30-40,High,30,No,verizon.net
W21,ID Card,rmoen@outlook.com,UK ,1,60,YES,NO,Day to date,20,ATM,20,2,NO,50-60,Same,0,Yes,outlook.com
W22,ID Card,cornell.donnelly@mac.com,UK ,1,75,YES,NO,Day to date,20,ATM,20,2,NO,70+,Same,0,Yes,mac.com
W23,ID Card,nwalter@msn.com,UK ,1,18,YES,NO,ATM,30,ATM,20,3,NO,<30,Low,10,No,msn.com
W24,Residence permit ,brionna39@yahoo.ca,UK ,1,22,NO,NO,ATM,40,ATM,30,2,YES,<30,Low,10,No,yahoo.ca
W25,Residence permit ,katelin.goodwin@me.com,UK ,2,18,NO,YES,ATM,20,Friends and Family,60,3,YES,<30,High,40,Yes,me.com
W26,Driving licence Full,lela.mckenzie@icloud.com,Europe ,5,18,NO,YES,ATM,70,Receiving and Withdrawing,60,3,YES,<30,Low,10,Yes,icloud.com
W27,Driving licence Full,julie.fritsch@mac.com,Europe ,2,22,NO,YES,Friends and Family,100,ATM,50,12,NO,<30,Low,50,Yes,mac.com
W28,Driving licence Full,jerad.flatley@live.com,Europe ,2,22,NO,YES,Receiving and Withdrawing,60,ATM,40,3,NO,<30,Low,20,Yes,live.com
W29,Driving licence Provisional,wintheiser.jamarcus@gmail.it,Other,5,21,NO,YES,Receiving and Withdrawing,60,ATM,50,3,NO,<30,Low,10,Yes,gmail.it
W30,Driving licence Provisional,don48@sbcglobal.net,Other,2,22,NO,YES,Receiving and Withdrawing,50,Friends and Family,20,3,YES,<30,Low,30,Yes,sbcglobal.net
W31,Passport ,koch.percival@yahoo.com,Other,2,21,YES,YES,Receiving and Withdrawing,40,Receiving and Withdrawing,20,2,YES,<30,Low,20,No,yahoo.com
W32,Passport ,keyshawn53@icloud.com,Other,5,21,YES,YES,Receiving and Withdrawing,50,ATM,20,2,YES,<30,Low,30,Yes,icloud.com
W33,Passport ,estell52@comcast.net,Other,3,53,YES,YES,ATM,20,ATM,30,2,YES,50-60,High,10,No,comcast.net
W34,Passport ,ferne41@hotmail.com,Europe ,3,43,YES,NO,ATM,20,ATM,60,2,YES,40-50,High,40,No,hotmail.com
W35,Passport ,welch.rubie@live.com,Europe ,3,28,YES,NO,ATM,20,Day to date,60,6,NO,<30,High,40,Yes,live.com
W36,ID Card,genoveva80@gmail.com,UK ,3,22,YES,NO,ATM,30,Day to date,50,10,NO,<30,High,20,Yes,gmail.com
W1,ID Card,diego63@verizon.net,Europe ,3,22,YES,NO,Friends and Family,60,Day to date,40,6,NO,<30,Low,20,Yes,verizon.net
